Time (days),N=50,N=100,N=5000
0.0,9.999500016666385e-05,0.00019998000133325533,0.009950166250831893
10.033444816053512,0.0001100273913585692,0.00021001138933618435,0.009960099811370027
20.066889632107024,0.00012005968189154892,0.00022004267669029076,0.009970033272240775
30.100334448160538,0.0001300918717666022,0.00023007386339657376,0.009979966633445136
40.13377926421405,0.00014012396098483926,0.00024010494945592153,0.009989899894984222
50.16722408026756,0.00015015594954703726,0.0002501359348694443,0.00999983305685892
60.200668896321076,0.00016018783745441745,0.0002601668196382523,0.01000976611907034
70.23411371237458,0.000170219624707868,0.00027019760376312263,0.010019699081619482
80.2675585284281,0.00018025131130838812,0.0002802282872451656,0.010029631944507233
90.30100334448161,0.00019028289725708802,0.0002902588700853803,0.010039564707734594
100.33444816053512,0.00020031438255496692,0.0003002893522848771,0.010049497371302674
110.36789297658864,0.00021034576720291298,0.00031031973384454403,0.010059429935212472
120.40133779264215,0.00022037705120203643,0.0003203500147654914,0.010069362399464876
130.43478260869566,0.0002304082345534475,0.0003303801950486074,0.010079294764060887
140.46822742474916,0.00024043931725792334,0.0003404102746950022,0.010089227029001724
150.5016722408027,0.00025047029931657416,0.000350440253705675,0.010099159194288165
160.5351170568562,0.0002605011807305102,0.000360470132081514,0.01010909125992121
170.5685618729097,0.00027053196150061964,0.0003704999098237405,0.010119023225901969
180.60200668896323,0.0002805626416279017,0.00038052958693324257,0.01012895509223144
190.63545150501673,0.0002905932211134665,0.0003905591634110195,0.010138886858910512
200.66889632107024,0.0003006236999583134,0.0004005886392580704,0.010148818525940184
210.70234113712377,0.00031065407816333046,0.0004106180144753946,0.010158750093321678
220.73578595317727,0.00032068435572962795,0.0004206472890641022,0.01016868156105577
230.76923076923077,0.00033071453265820505,0.00043067646302508145,0.01017861292914346
240.8026755852843,0.000340744608950061,0.00044070553635944254,0.01018854419758597
250.8361204013378,0.00035077458460619493,0.0004507345090681847,0.010198475366384074
260.8695652173913,0.0003608044596276061,0.0004607633811523071,0.010208406435538775
270.90301003344484,0.0003708342340154047,0.0004707921526126979,0.010218337405051181
280.9364548494983,0.00038086390777036794,0.0004808208234505784,0.010228268274922292
290.96989966555185,0.000390893480893828,0.0004908493936667258,0.010238199045152996
301.0033444816054,0.00040092295338656214,0.0005008778632623612,0.010248129715744514
